,MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN,HIGH,LOW,CMP,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK,ForDate
995,N,EQ,NCC,NCC LIMITED,        62.65,        63.45,        63.45,        62.05,        62.70,                374771293.30,5958659,N, ,24863,        64.50,        15.85,2021-01-08
996,N,EQ,NCLIND,NCL INDUSTRIES LIMITED,       154.80,       156.85,       158.50,       153.10,       154.65,                 66452088.30,425789,N, ,5257,       159.40,        53.20,2021-01-08
997,N,EQ,NDGL,NAGA DHUNSERI GROUP LTD,       852.55,       891.35,       891.35,       805.00,       815.10,                   546083.10,655,N, ,88,       967.30,       300.00,2021-01-08
998,N,EQ,NDL,NANDAN DENIM LIMITED,        29.75,        29.70,        32.70,        29.70,        32.70,                  5653807.60,174240,N, ,489,        35.30,        12.15,2021-01-08
999,N,EQ,NDRAUTO,NDR AUTO COMPONENTS LTD,       237.00,       232.00,       243.00,       232.00,       236.60,                  1959580.85,8254,N, ,396,       284.95,       120.00,2021-01-08
1000,N,EQ,NDTV,NDTV LTD,        40.10,        40.10,        41.35,        39.00,        39.15,                  2718945.60,68455,N, ,579,        52.95,        19.10,2021-01-08
1001,N,EQ,NECCLTD,NORTH EAST CARRY CORP LTD,         9.95,         9.95,        10.10,         9.60,         9.85,                   642193.25,65226,N, ,257,        17.00,         2.85,2021-01-08
1002,N,EQ,NECLIFE,NECTAR LIFESCIENCES LTD.,        23.55,        24.15,        24.90,        23.05,        23.45,                 32320635.80,1340642,N, ,4212,        30.05,         7.10,2021-01-08
1003,N,EQ,NELCAST,NELCAST LIMITED,        63.60,        64.10,        64.80,        63.05,        63.40,                  9564807.55,149887,N, ,1280,        66.90,        23.20,2021-01-08
1004,N,EQ,NELCO,NELCO LTD,       201.55,       203.45,       208.00,       202.60,       205.35,                 41302429.00,201194,N, ,4578,       269.90,       115.00,2021-01-08
1005,N,EQ,NEOGEN,NEOGEN CHEMICALS LIMITED,       716.45,       719.00,       726.00,       712.00,       714.40,                 41724513.00,58097,N, ,5894,       819.55,       345.55,2021-01-08
1006,N,EQ,NESCO,NESCO LTD.,       581.95,       586.00,       595.00,       567.95,       577.85,                119241753.95,204229,N, ,8360,       816.80,       380.00,2021-01-08
1007,N,EQ,NETWORK18,NETWORK18 MEDIA & INV LTD,        35.95,        36.10,        38.85,        36.05,        37.25,                207547149.75,5513740,N, ,10780,        50.00,        14.70,2021-01-08
1008,N,EQ,NEULANDLAB,NEULAND LAB LTD.,      1103.05,      1113.80,      1122.50,      1089.00,      1097.50,                 36489054.85,33001,N, ,2223,      1335.00,       245.75,2021-01-08
1009,N,EQ,NEWGEN,NEWGEN SOFTWARE TECH LTD,       293.30,       297.00,       316.20,       293.95,       306.40,                157811857.50,512693,N, ,24621,       316.20,        96.00,2021-01-08
1010,N,EQ,NFL,NATIONAL FERT. LTD,        39.65,        40.60,        42.20,        40.35,        41.15,                317380324.55,7662455,N, ,27470,        44.95,        14.70,2021-01-08
1011,N,EQ,NH,NARAYANA HRUDAYALAYA LTD.,       447.05,       447.05,       455.00,       443.80,       451.20,                 84215303.90,187663,N, ,6371,       459.00,       204.00,2021-01-08
1012,N,EQ,NHPC,NHPC LTD,        24.80,        25.10,        25.45,        25.00,        25.10,                314578994.25,12496609,N, ,40387,        29.10,        15.10,2021-01-08
1013,N,EQ,NIACL,THE NEW INDIA ASSU CO LTD,       128.55,       129.90,       133.45,       128.25,       129.60,                204682103.65,1558934,N, ,22367,       172.00,        74.10,2021-01-08
1014,N,EQ,NIITLTD,NIIT LIMITED,       203.20,       204.00,       208.50,       203.25,       206.15,                190041906.05,923318,N, ,11902,       210.70,        54.00,2021-01-08
